web-scraper-order,web-scraper-start-url,pagination,url,url-href
"1724168241-35","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","35. Bảo tàng thiên nhiên Việt Nam","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9995703-Reviews-Vietnam_National_Museum_of_Nature-Hanoi.html"
"1724168241-36","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","36. The Muse Art Space","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23644743-Reviews-The_Muse_Art_Space-Hanoi.html"
"1724168241-37","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","37. M Space Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d23627340-Reviews-M_Space_Galerry-Hanoi.html"
"1724168241-38","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","38. Phòng Tranh Đông Phong","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8403743-Reviews-Dong_Phong_Art_Gallery-Hanoi.html"
"1724168241-39","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","39. Art Vietnam Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8078042-Reviews-Art_Vietnam_Gallery-Hanoi.html"
"1724168241-40","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","40. Hathor Art Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15588333-Reviews-Hathor_Art_Gallery-Hanoi.html"
"1724168241-41","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","41. Apricot Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8540410-Reviews-Apricot_Gallery-Hanoi.html"
"1724168241-42","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","42. Hanoi Museum","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4581028-Reviews-Hanoi_Museum-Hanoi.html"
"1724168241-43","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","43. Zó Project","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10077982-Reviews-Zo_Project-Hanoi.html"
"1724168241-44","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","44. Heritage Sapce","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8517712-Reviews-Heritage_Sapce-Hanoi.html"
"1724168241-45","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","45. Hanoi Studio Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10516182-Reviews-Hanoi_Studio_Gallery-Hanoi.html"
"1724168241-46","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-Hanoi.html","https://www.tripadvisor.com.vn/Attractions-g293924-Activities-c49-oa30-Hanoi.html","46. Bùi Mai Hiên Gallery","https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8078344-Reviews-Bui_Mai_Hien_Gallery-Hanoi.html"
